project_name,file_name,file_size,file_downloads
Wireless Capacitive Soil Moisture Sensor,soil-moisture-sensor-B_Cu.gbr,141.68 kB,433
Wireless Capacitive Soil Moisture Sensor,soil-moisture-sensor-B_Mask.gbr,34.73 kB,366
Wireless Capacitive Soil Moisture Sensor,soil-moisture-sensor-B_Paste.gbr,12.03 kB,367
Wireless Capacitive Soil Moisture Sensor,soil-moisture-sensor-B_SilkS.gbr,19.55 kB,375
Wireless Capacitive Soil Moisture Sensor,soil-moisture-sensor-Edge_Cuts.gbr,1009 B,390
Wireless Capacitive Soil Moisture Sensor,soil-moisture-sensor-F_Cu.gbr,60.89 kB,412
Wireless Capacitive Soil Moisture Sensor,soil-moisture-sensor-F_Mask.gbr,1.7 kB,401
Wireless Capacitive Soil Moisture Sensor,soil-moisture-sensor-F_Paste.gbr,747 B,345
Wireless Capacitive Soil Moisture Sensor,soil-moisture-sensor-F_SilkS.gbr,19.12 kB,388
Wireless Capacitive Soil Moisture Sensor,soil-moisture-sensor-job.gbrjob,2.22 kB,432
Wireless Capacitive Soil Moisture Sensor,soil-moisture-sensor.drl,1.34 kB,440
Universal Inputs Modbus Module,LICENSE.txt,34.31 kB,228
Universal Inputs Modbus Module,inputs.sch,53.07 kB,344
Universal Inputs Modbus Module,mcu.sch,12.25 kB,300
Universal Inputs Modbus Module,osadzovak-bot.pdf,63.28 kB,250
Universal Inputs Modbus Module,osadzovak-top.pdf,12.91 kB,239
Universal Inputs Modbus Module,relay.sch,9.1 kB,352
Universal Inputs Modbus Module,umi6r2-B_Cu.gbr,645.15 kB,293
Universal Inputs Modbus Module,umi6r2-B_Mask.gbr,263.28 kB,269
Universal Inputs Modbus Module,umi6r2-B_Paste.gbr,323.57 kB,263
Universal Inputs Modbus Module,umi6r2-B_SilkS.gbr,155.81 kB,276
Universal Inputs Modbus Module,umi6r2-Edge_Cuts.gbr,3.1 kB,316
Universal Inputs Modbus Module,umi6r2-F_Cu.gbr,175.01 kB,303
Universal Inputs Modbus Module,umi6r2-F_Mask.gbr,67.12 kB,260
Universal Inputs Modbus Module,umi6r2-F_SilkS.gbr,74.87 kB,257
Universal Inputs Modbus Module,umi6r2-NPTH-drl_map.gbr,4.39 kB,290
Universal Inputs Modbus Module,umi6r2-PTH-drl_map.gbr,48.94 kB,249
Universal Inputs Modbus Module,umi6r2-PTH.drl,2.27 kB,267
Universal Inputs Modbus Module,umi6r2-cache.lib,14.87 kB,266
Universal Inputs Modbus Module,umi6r2-rescue.dcm,48 B,353
Universal Inputs Modbus Module,umi6r2-rescue.lib,2.35 kB,296
Universal Inputs Modbus Module,umi6r2-sch.pdf,142.24 kB,334
Universal Inputs Modbus Module,umi6r2.kicad_pcb,684.22 kB,326
Universal Inputs Modbus Module,umi6r2.net,69.18 kB,250
Universal Inputs Modbus Module,umi6r2.pro,4.2 kB,274
Universal Inputs Modbus Module,umi6r2.sch,719 B,275
LCDUINO,LCDuino.PcbDoc,647.5 kB,304
LCDUINO,LCDuino.SchDoc,110 kB,292
LCDUINO,LCDuino.pdf,124.21 kB,303
LCDUINO,LICENSE.txt,34.31 kB,224
Arduino NANO sensor board,LICENSE.txt,34.31 kB,206
Arduino NANO sensor board,Datasheet_FSR.pdf,1.25 MB,327
Arduino NANO sensor board,osadzovak.pdf,22.64 kB,202
Arduino NANO sensor board,placement.pdf,22.64 kB,149
Arduino NANO sensor board,presen-fsr-B_Cu.gbr,59.05 kB,233
Arduino NANO sensor board,presen-fsr-B_Mask.gbr,22.94 kB,253
Arduino NANO sensor board,presen-fsr-Edge_Cuts.gbr,896 B,253
Arduino NANO sensor board,presen-fsr-F_Cu.gbr,229.19 kB,235
Arduino NANO sensor board,presen-fsr-F_Mask.gbr,78.86 kB,280
Arduino NANO sensor board,presen-fsr-F_Paste.gbr,97.06 kB,243
Arduino NANO sensor board,presen-fsr-F_SilkS.gbr,72.06 kB,240
Arduino NANO sensor board,presen-fsr-cache.lib,10.61 kB,281
Arduino NANO sensor board,presen-fsr.drl,978 B,279
Arduino NANO sensor board,presen-fsr.kicad_pcb,221.34 kB,293
Arduino NANO sensor board,presen-fsr.kicad_pcb-bak,221.34 kB,294
Arduino NANO sensor board,presen-fsr.net,29.57 kB,288
Arduino NANO sensor board,presen-fsr.pdf,46.5 kB,209
Arduino NANO sensor board,presen-fsr.pro,4.2 kB,264
Arduino NANO sensor board,presen-fsr.sch,24.83 kB,273
Arduino NANO sensor board,presen-fsr.sch-bak,24.83 kB,297
Arduino NANO sensor board,schema.pdf,98.57 kB,261
MySX Power Board 18650,18650.gbl,87.99 kB,359
MySX Power Board 18650,18650.gbo,167.57 kB,346
MySX Power Board 18650,18650.gbp,142 B,336
MySX Power Board 18650,18650.gbs,1.52 kB,360
MySX Power Board 18650,18650.gko,36.25 kB,394
MySX Power Board 18650,18650.gtl,168.27 kB,351
MySX Power Board 18650,18650.gto,226.84 kB,354
MySX Power Board 18650,18650.gtp,1.99 kB,365
MySX Power Board 18650,18650.gts,3.43 kB,385
MySX Power Board 18650,18650.xln,1.49 kB,326
EFEKTA V4 Temp&Hum&Press sensor with E-Ink 1.54,V4_EBYTE_MODULE.rar,32.8 kB,201
EFEKTA V4 Temp&Hum&Press sensor with E-Ink 1.54,V4_base.rar,130.66 kB,205
Leaky - water detector,License.txt,18.21 kB,231
Leaky - water detector,leaky-B_Cu.gbr,81.52 kB,264
Leaky - water detector,leaky-B_Mask.gbr,2.03 kB,275
Leaky - water detector,leaky-B_Paste.gbr,471 B,282
Leaky - water detector,leaky-B_SilkS.gbr,472 B,285
Leaky - water detector,leaky-Edge_Cuts.gbr,1.26 kB,275
Leaky - water detector,leaky-F_Cu.gbr,125.69 kB,255
Leaky - water detector,leaky-F_Mask.gbr,10.15 kB,245
Leaky - water detector,leaky-F_Paste.gbr,8.12 kB,281
Leaky - water detector,leaky-F_SilkS.gbr,88.21 kB,279
Leaky - water detector,leaky-NPTH.drl,365 B,264
Leaky - water detector,leaky-PTH.drl,1.89 kB,273
Leaky - water detector,leaky-job.gbrjob,2.61 kB,278
Leaky - water detector,schematic.pdf,77.09 kB,422
MySX Prototype board,gerber_job.gbrjob,555 B,304
MySX Prototype board,proto.gbl,9.71 kB,302
MySX Prototype board,proto.gbo,276.92 kB,312
MySX Prototype board,proto.gbs,8.17 kB,311
MySX Prototype board,proto.gko,14.4 kB,306
MySX Prototype board,proto.gtl,13.87 kB,316
MySX Prototype board,proto.gto,257.46 kB,291
MySX Prototype board,proto.gts,11.48 kB,298
MySX Prototype board,proto.xln,4.38 kB,302
InlineCleaner,Rechte Seite.STL,51.45 kB,243
InlineCleaner,Scheibe.STL,7.11 kB,246
InlineCleaner,Abstandhuelse.STL,14.14 kB,251
InlineCleaner,Umlenkrolle.STL,105.36 kB,252
InlineCleaner,Bürstenträger.STL,100.67 kB,833
InlineCleaner,Antriebsrolle.STL,738.17 kB,264
InlineCleaner,Linke Seite.STL,112.78 kB,252
CMSIS-DAP,CMSIS-DAP.V1.pdf,37.42 kB,327
CMSIS-DAP,CMSIS-DAP.V1.brd,68.52 kB,1612
CMSIS-DAP,CMSIS-DAP.V2.brd,67.91 kB,309
CMSIS-DAP,CMSIS-DAP.V1.sch,236.8 kB,307
CMSIS-DAP,CMSIS-DAP.V2.pdf,37.65 kB,326
CMSIS-DAP,CMSIS-DAP.V2.sch,240.28 kB,337
CMSIS-DAP,STLink.v21.brd,80.08 kB,289
CMSIS-DAP,STLink.v21.pdf,56.92 kB,253
CMSIS-DAP,STLink.v21.sch,256.44 kB,327
Simple compact RS485 node v2 (ATmega328 + MAX3485 + W25X40),Gerber_BoardOutline.GKO,516 B,315
Simple compact RS485 node v2 (ATmega328 + MAX3485 + W25X40),Gerber_BottomLayer.GBL,10.85 kB,353
Simple compact RS485 node v2 (ATmega328 + MAX3485 + W25X40),Gerber_BottomPasteMaskLayer.GBP,5.37 kB,365
Simple compact RS485 node v2 (ATmega328 + MAX3485 + W25X40),Gerber_BottomSilkLayer.GBO,17.96 kB,330
Simple compact RS485 node v2 (ATmega328 + MAX3485 + W25X40),Gerber_BottomSolderMaskLayer.GBS,6.22 kB,341
Simple compact RS485 node v2 (ATmega328 + MAX3485 + W25X40),Gerber_Drill_PTH.DRL,1.24 kB,347
Simple compact RS485 node v2 (ATmega328 + MAX3485 + W25X40),Gerber_TopLayer.GTL,5.04 kB,339
Simple compact RS485 node v2 (ATmega328 + MAX3485 + W25X40),Gerber_TopPasteMaskLayer.GTP,1.26 kB,333
Simple compact RS485 node v2 (ATmega328 + MAX3485 + W25X40),Gerber_TopSilkLayer.GTO,27.5 kB,344
Simple compact RS485 node v2 (ATmega328 + MAX3485 + W25X40),Gerber_TopSolderMaskLayer.GTS,2.54 kB,340
Simple compact RS485 node v2 (ATmega328 + MAX3485 + W25X40),MYSNodeRS485_Schematic_rev002.pdf,47.56 kB,382
Mini temperature and humidity sensor with e-ink 1.02 Inch,THEINK102BOTTOM_V10.rar,54.27 kB,102
Mini temperature and humidity sensor with e-ink 1.02 Inch,THEINK102TOP_V1.0.rar,75.3 kB,99
MyGateway,MyGateway-B_Cu.gbl,56.88 kB,373
MyGateway,MyGateway-B_Mask.gbs,1.87 kB,342
MyGateway,MyGateway-B_Paste.gbp,538 B,333
MyGateway,MyGateway-B_SilkS.gbo,539 B,370
MyGateway,MyGateway-Edge_Cuts.gm1,1.01 kB,386
MyGateway,MyGateway-F_Cu.gtl,46.48 kB,402
MyGateway,MyGateway-F_Mask.gts,16.93 kB,389
MyGateway,MyGateway-F_Paste.gtp,11.22 kB,347
MyGateway,MyGateway-F_SilkS.gto,184.2 kB,370
MyGateway,MyGateway-NPTH.drl,29 B,380
MyGateway,MyGateway-PTH.drl,891 B,375
MyGateway,MyGateway.kicad_pcb,171.72 kB,403
MyGateway,MyGateway.pro,3.99 kB,367
MyGateway,MyGateway.sch,17.99 kB,430
PulseTAC,Gerber_Controller.rar,41.4 kB,61
PulseTAC,Gerber_Sender.rar,29.87 kB,59
PulseTAC,sender_box_partB.stl,135.04 kB,290
PulseTAC,controller_box_partA.stl,109.07 kB,279
PulseTAC,controller_box_partB.stl,56.43 kB,269
PulseTAC,sender_box_partA.stl,109.85 kB,294
IRShine,IRcover.stl,170.59 kB,268
IRShine,IRplug_part1.stl,146.86 kB,313
IRShine,IRplug_part2.stl,69.22 kB,281
IRShine,Gerber_IRShine.rar,28.09 kB,70
IRShine,Gerber_Daughtercard.rar,5.41 kB,76
Capacitive touch switch module with LED illumination,BoardOutline.gbr,438 B,315
Capacitive touch switch module with LED illumination,Bottom.gbr,5.33 kB,346
Capacitive touch switch module with LED illumination,BottomAssy.gbr,189 B,318
Capacitive touch switch module with LED illumination,BottomDimension.gbr,199 B,304
Capacitive touch switch module with LED illumination,BottomMask.gbr,449 B,303
Capacitive touch switch module with LED illumination,BottomPaste.gbr,282 B,323
Capacitive touch switch module with LED illumination,BottomSilk.gbr,34.33 kB,347
Capacitive touch switch module with LED illumination,Schematic_SENS BUTTON_2020-07-31_18-35-59.pdf,63.61 kB,562
Capacitive touch switch module with LED illumination,Sens1.1.rar,38.47 kB,99
Capacitive touch switch module with LED illumination,Through.drl,327 B,345
Capacitive touch switch module with LED illumination,Top.gbr,5.4 kB,352
Capacitive touch switch module with LED illumination,TopAssy.gbr,186 B,324
Capacitive touch switch module with LED illumination,TopDimension.gbr,196 B,349
Capacitive touch switch module with LED illumination,TopMask.gbr,1.04 kB,322
Capacitive touch switch module with LED illumination,TopPaste.gbr,902 B,323
Capacitive touch switch module with LED illumination,TopSilk.gbr,129.33 kB,338
MICRO MULTI SENSOR,Schematic_NANO_UNI_V1.4 08.2020.pdf,143.17 kB,352
MICRO MULTI SENSOR,BOM_V1.4.txt,1.86 kB,270
MICRO MULTI SENSOR,BoardOutline.gbr,656 B,307
MICRO MULTI SENSOR,Bottom.gbr,38.89 kB,296
MICRO MULTI SENSOR,BottomAssy.gbr,189 B,285
MICRO MULTI SENSOR,BottomDimension.gbr,199 B,288
MICRO MULTI SENSOR,BottomMask.gbr,1.45 kB,336
MICRO MULTI SENSOR,BottomPaste.gbr,1.17 kB,289
MICRO MULTI SENSOR,BottomSilk.gbr,151.85 kB,288
MICRO MULTI SENSOR,MicroMultiTempSensor_V1.4.rar,93.35 kB,89
MICRO MULTI SENSOR,Through.drl,2.15 kB,346
MICRO MULTI SENSOR,Top.gbr,42.92 kB,336
MICRO MULTI SENSOR,TopAssy.gbr,186 B,320
MICRO MULTI SENSOR,TopDimension.gbr,196 B,324
MICRO MULTI SENSOR,TopMask.gbr,4.64 kB,340
MICRO MULTI SENSOR,TopPaste.gbr,3.6 kB,327
MICRO MULTI SENSOR,TopSilk.gbr,145.43 kB,325
Personal EPD terminal,4寸塑料屏幕 arduino ESP 刷屏测试.rar,31.64 kB,660
Personal EPD terminal,4inch EPD sch_2020-07-10_22-05-15 (2).pdf,362.83 kB,794
Personal EPD terminal,Gerber_BottomLayer.GBL,242.92 kB,454
Personal EPD terminal,Gerber_BottomPasteMaskLayer.GBP,1 kB,394
Personal EPD terminal,Gerber_BottomSilkLayer.GBO,1.87 kB,330
Personal EPD terminal,Gerber_BottomSolderMaskLayer.GBS,1.49 kB,317
Personal EPD terminal,Gerber_Drill_NPTH.DRL,483 B,325
Personal EPD terminal,Gerber_Drill_PTH.DRL,5.58 kB,364
Personal EPD terminal,Gerber_TopLayer.GTL,580.03 kB,373
Personal EPD terminal,Gerber_TopPasteMaskLayer.GTP,13.97 kB,354
Personal EPD terminal,Gerber_TopSilkLayer.GTO,166.92 kB,331
Personal EPD terminal,Gerber_TopSolderMaskLayer.GTS,47.13 kB,319
Personal EPD terminal,PCB下单必读.txt,77 B,972
MySX STM32 BluePill,board.gbl,128.22 kB,394
MySX STM32 BluePill,board.gbo,177.64 kB,347
MySX STM32 BluePill,board.gbs,1.9 kB,349
MySX STM32 BluePill,board.gko,23.69 kB,381
MySX STM32 BluePill,board.gtl,212.53 kB,346
MySX STM32 BluePill,board.gto,237.34 kB,342
MySX STM32 BluePill,board.gts,2.38 kB,383
MySX STM32 BluePill,board.xln,1.43 kB,382
MySX STM32 BluePill,gerber_job.gbrjob,556 B,387
MySX Relay 4,gerber_job.gbrjob,568 B,288
MySX Relay 4,relay4.gbl,47.1 kB,282
MySX Relay 4,relay4_2020-05-16_rev0_schema.pdf,57.19 kB,345
MySX Relay 4,relay4.gbo,115.58 kB,282
MySX Relay 4,relay4.gbs,1.65 kB,307
MySX Relay 4,relay4.gko,34.36 kB,326
MySX Relay 4,relay4.gtl,154.45 kB,311
MySX Relay 4,relay4.gto,344.98 kB,293
MySX Relay 4,relay4.gts,3.08 kB,300
MySX Relay 4,relay4.xln,1.43 kB,339
ESP8266 Power Monitor,ESP8266-PowerMonitor-B_Adhes.gbr,513 B,305
ESP8266 Power Monitor,ESP8266-PowerMonitor-B_CrtYd.gbr,1.1 kB,289
ESP8266 Power Monitor,ESP8266-PowerMonitor-B_Cu.gbr,25.47 kB,306
ESP8266 Power Monitor,ESP8266-PowerMonitor-B_Fab.gbr,2.93 kB,293
ESP8266 Power Monitor,ESP8266-PowerMonitor-B_Mask.gbr,11.86 kB,282
ESP8266 Power Monitor,ESP8266-PowerMonitor-B_Paste.gbr,11.08 kB,304
ESP8266 Power Monitor,ESP8266-PowerMonitor-B_SilkS.gbr,2.58 kB,316
ESP8266 Power Monitor,ESP8266-PowerMonitor-Cmts_User.gbr,4.65 kB,288
ESP8266 Power Monitor,ESP8266-PowerMonitor-Dwgs_User.gbr,53.91 kB,278
ESP8266 Power Monitor,ESP8266-PowerMonitor-Eco1_User.gbr,481 B,300
ESP8266 Power Monitor,ESP8266-PowerMonitor-Eco2_User.gbr,481 B,301
ESP8266 Power Monitor,ESP8266-PowerMonitor-Edge_Cuts.gbr,709 B,283
ESP8266 Power Monitor,ESP8266-PowerMonitor-F_Adhes.gbr,513 B,311
ESP8266 Power Monitor,ESP8266-PowerMonitor-F_CrtYd.gbr,4.68 kB,267
ESP8266 Power Monitor,ESP8266-PowerMonitor-F_Cu.gbr,38.79 kB,267
ESP8266 Power Monitor,ESP8266-PowerMonitor-F_Fab.gbr,15.47 kB,260
ESP8266 Power Monitor,ESP8266-PowerMonitor-F_Mask.gbr,32.06 kB,270
ESP8266 Power Monitor,ESP8266-PowerMonitor-F_Paste.gbr,29.2 kB,261
ESP8266 Power Monitor,ESP8266-PowerMonitor-F_SilkS.gbr,15.89 kB,283
ESP8266 Power Monitor,ESP8266-PowerMonitor-Margin.gbr,481 B,325
ESP8266 Power Monitor,ESP8266-PowerMonitor-cache.lib,7.2 kB,302
ESP8266 Power Monitor,ESP8266-PowerMonitor.drl,650 B,306
ESP8266 Power Monitor,ESP8266-PowerMonitor.kicad_pcb,117.41 kB,322
ESP8266 Power Monitor,ESP8266-PowerMonitor.kicad_pcb-bak,117.7 kB,321
ESP8266 Power Monitor,ESP8266-PowerMonitor.net,18.32 kB,327
ESP8266 Power Monitor,ESP8266-PowerMonitor.pro,4.17 kB,268
ESP8266 Power Monitor,ESP8266-PowerMonitor.sch,11.97 kB,446
Segment serial indicator&encoder,CNQ-5641Ax-Bx.PDF,30.5 kB,408
Segment serial indicator&encoder,ED1212S.pdf,189.49 kB,250
Segment serial indicator&encoder,toshiba_74HC595D(X34TTD-410-02)_E_20160209-909557.pdf,427.83 kB,861
Segment serial indicator&encoder,Schematic.pdf,62.07 kB,224
Segment serial indicator&encoder,Gerber_BoardOutline.GKO,496 B,284
Segment serial indicator&encoder,Gerber_BottomLayer.GBL,13.99 kB,304
Segment serial indicator&encoder,Gerber_BottomPasteMaskLayer.GBP,7.03 kB,282
Segment serial indicator&encoder,Gerber_BottomSilkLayer.GBO,15.3 kB,281
Segment serial indicator&encoder,Gerber_BottomSolderMaskLayer.GBS,9.32 kB,288
Segment serial indicator&encoder,Gerber_Drill_PTH.DRL,2.82 kB,309
Segment serial indicator&encoder,Gerber_TopLayer.GTL,5.94 kB,281
Segment serial indicator&encoder,Gerber_TopSilkLayer.GTO,20.42 kB,329
Segment serial indicator&encoder,Gerber_TopSolderMaskLayer.GTS,2.68 kB,296
Segment serial indicator&encoder,How-to-order-PCB.txt,79 B,277
Segment serial indicator&encoder,example.pdf,19.57 kB,182
nRF52840 MINI DEV BOARD EFEKTA,EDB_2.08.rar,157.41 kB,89
nRF52840 MINI DEV BOARD EFEKTA,product.txt,21 B,279
nRF52840 MINI DEV BOARD EFEKTA,BoardOutline.gbr,455 B,304
nRF52840 MINI DEV BOARD EFEKTA,BottomAssy.gbr,189 B,315
nRF52840 MINI DEV BOARD EFEKTA,BottomDimension.gbr,199 B,303
nRF52840 MINI DEV BOARD EFEKTA,BottomMask.gbr,2.31 kB,293
nRF52840 MINI DEV BOARD EFEKTA,BottomPaste.gbr,928 B,295
nRF52840 MINI DEV BOARD EFEKTA,BottomSilk.gbr,181.85 kB,347
nRF52840 MINI DEV BOARD EFEKTA,Through.drl,2.87 kB,314
nRF52840 MINI DEV BOARD EFEKTA,TopAssy.gbr,186 B,290
nRF52840 MINI DEV BOARD EFEKTA,TopDimension.gbr,196 B,304
nRF52840 MINI DEV BOARD EFEKTA,TopMask.gbr,3.44 kB,308
nRF52840 MINI DEV BOARD EFEKTA,TopPaste.gbr,2.03 kB,336
nRF52840 MINI DEV BOARD EFEKTA,TopSilk.gbr,309.65 kB,304
nRF52840 MINI DEV BOARD EFEKTA,Верхний.gbr,97.11 kB,793
nRF52840 MINI DEV BOARD EFEKTA,Нижний.gbr,85.34 kB,794
MySensors RS-485 Universal Module,Modul1s.stl,1.42 MB,384
MySensors RS-485 Universal Module,ATmega_board_SB.PDF,356.88 kB,337
MySensors RS-485 Universal Module,ATmega_board_SH.pdf,267.62 kB,372
MySensors RS-485 Universal Module,ATmega_board.PcbDoc,2.61 MB,389
MySensors RS-485 Universal Module,ATmega_board.SchDoc,697 kB,402
MySensors RS-485 Universal Module,ATmega_board.TXT,1.33 kB,355
MySensors RS-485 Universal Module,ATmega_board.GBL,21.14 kB,342
MySensors RS-485 Universal Module,ATmega_board.GBO,86.85 kB,305
MySensors RS-485 Universal Module,ATmega_board.GM3,502 B,350
MySensors RS-485 Universal Module,ATmega_board.GBS,1.6 kB,334
MySensors RS-485 Universal Module,ATmega_board.GTL,25.07 kB,359
MySensors RS-485 Universal Module,ATmega_board.GTO,104.27 kB,346
MySensors RS-485 Universal Module,ATmega_board.GTS,7.41 kB,341
MySensors RS-485 Universal Module,Status Report.Txt,298 B,309
"ESPboy: Games, IoT, STEM for education & fun (ESP8266 core)",How-to-order-PCB.txt,79 B,527
"ESPboy: Games, IoT, STEM for education & fun (ESP8266 core)",Gerber_TopSolderMaskLayer.GTS,7.75 kB,547
"ESPboy: Games, IoT, STEM for education & fun (ESP8266 core)",Gerber_TopSilkLayer.GTO,31.8 kB,1789
"ESPboy: Games, IoT, STEM for education & fun (ESP8266 core)",Gerber_Drill_NPTH.DRL,308 B,1773
"ESPboy: Games, IoT, STEM for education & fun (ESP8266 core)",Gerber_TopPasteMaskLayer.GTP,3.48 kB,502
"ESPboy: Games, IoT, STEM for education & fun (ESP8266 core)",Gerber_TopLayer.GTL,12.2 kB,1801
"ESPboy: Games, IoT, STEM for education & fun (ESP8266 core)",Gerber_Drill_PTH.DRL,2.3 kB,537
"ESPboy: Games, IoT, STEM for education & fun (ESP8266 core)",Gerber_BottomSolderMaskLayer.GBS,5.4 kB,516
"ESPboy: Games, IoT, STEM for education & fun (ESP8266 core)",Gerber_BottomPasteMaskLayer.GBP,3.13 kB,1331
"ESPboy: Games, IoT, STEM for education & fun (ESP8266 core)",Gerber_BottomLayer.GBL,10.62 kB,530
"ESPboy: Games, IoT, STEM for education & fun (ESP8266 core)",Gerber_BottomSilkLayer.GBO,91.89 kB,552
"ESPboy: Games, IoT, STEM for education & fun (ESP8266 core)",Gerber_BoardOutline.GKO,725 B,492
"MDMSNode ""Lighting X3"" (based on ESP8266)",MDMSNode Lighting X3.pdf,335.04 kB,833
"MDMSNode ""Lighting X3"" (based on ESP8266)",Lighting X3 WiFi .GTL,24.2 kB,411
"MDMSNode ""Lighting X3"" (based on ESP8266)",Lighting X3 WiFi .GTO,358.88 kB,408
"MDMSNode ""Lighting X3"" (based on ESP8266)",Lighting X3 WiFi .GTS,2.07 kB,403
"MDMSNode ""Lighting X3"" (based on ESP8266)",Lighting X3 WiFi -RoundHoles-NonPlated.TXT,126 B,335
"MDMSNode ""Lighting X3"" (based on ESP8266)",Lighting X3 WiFi -RoundHoles-Plated.TXT,2.34 kB,316
"MDMSNode ""Lighting X3"" (based on ESP8266)",Lighting X3 WiFi.GBL,20.24 kB,400
"MDMSNode ""Lighting X3"" (based on ESP8266)",Lighting X3 WiFi -SlotHoles-NonPlated.TXT,256 B,301
"MDMSNode ""Lighting X3"" (based on ESP8266)",Lighting X3 WiFi .GBS,5.61 kB,400
"MDMSNode ""Lighting X3"" (based on ESP8266)",Lighting X3 WiFi .GM1,428 B,360
"MDMSNode ""Lighting X3"" (based on ESP8266)",Lighting X3 WiFi .GBO,483.1 kB,369
A smart clock,clockbox7_3.pdf,26.77 kB,339
A smart clock,mInasclock_pcb_v5.brd,259.8 kB,381
A smart clock,mInasclock_pcb_v5.sch,1.17 MB,357
A smart clock,mInasclock_pcb_v5_BOM.txt,16.83 kB,358
A smart clock,copper_top.gbr,681.33 kB,307
A smart clock,copper_bottom.gbr,585.1 kB,333
A smart clock,silkscreen_top.gbr,529.52 kB,290
A smart clock,silkscreen_bottom.gbr,504.76 kB,313
A smart clock,soldermask_top.gbr,8.33 kB,338
A smart clock,soldermask_bottom.gbr,8.19 kB,291
A smart clock,solderpaste_top.gbr,287 B,297
A smart clock,solderpaste_bottom.gbr,148 B,319
A smart clock,drill_1_16.xln,4.48 kB,358
A smart clock,PnP_mInasclock_pcb_v5_back.txt,0 B,342
A smart clock,PnP_mInasclock_pcb_v5_front.txt,49 B,318
A smart clock,gerber_job.gbrjob,579 B,303
A smart clock,mInasclock_pcb_v5.txt,8.85 kB,308
A smart clock,profile.gbr,8.84 kB,322
Neotron 32,neotron-32-B.Cu.gbr,62.81 kB,435
Neotron 32,neotron-32-B.Mask.gbr,391.38 kB,434
Neotron 32,neotron-32-Edge.Cuts.gbr,1.21 kB,451
Neotron 32,neotron-32-F.CrtYd.gbr,19.49 kB,436
Neotron 32,neotron-32-F.Cu.gbr,87.19 kB,448
Neotron 32,neotron-32-F.Mask.gbr,394.23 kB,432
Neotron 32,neotron-32-F.SilkS.gbr,221.04 kB,453
Neotron 32,neotron-32-Gnd.Cu.gbr,707.51 kB,444
Neotron 32,neotron-32-Vcc.Cu.gbr,657.09 kB,445
Neotron 32,neotron-32.drl,7.78 kB,1718
EFEKTA WIRELESS TEMPERATURE & HUMIDITY SENSOR V1 | nRF52840,SHT20_SI7020_nRF52840.rar,95.14 kB,90
EFEKTA WIRELESS TEMPERATURE & HUMIDITY SENSOR V1 | nRF52840,Schematic_EFEKTA-SHT20_2020-05-29_15-02-16.pdf,133.04 kB,345
EFEKTA WIRELESS TEMPERATURE & HUMIDITY SENSOR V1 | nRF52840,TOP_FDM.STL,4.98 MB,370
EFEKTA WIRELESS TEMPERATURE & HUMIDITY SENSOR V1 | nRF52840,TOP_SLA.STL,5.07 MB,364
EFEKTA WIRELESS TEMPERATURE & HUMIDITY SENSOR V1 | nRF52840,case.txt,20 B,293
EFEKTA WIRELESS TEMPERATURE & HUMIDITY SENSOR V1 | nRF52840,gerber.txt,21 B,284
EFEKTA WIRELESS TEMPERATURE & HUMIDITY SENSOR V1 | nRF52840,BoardOutline.gbr,751 B,313
EFEKTA WIRELESS TEMPERATURE & HUMIDITY SENSOR V1 | nRF52840,BottomAssy.gbr,189 B,360
EFEKTA WIRELESS TEMPERATURE & HUMIDITY SENSOR V1 | nRF52840,BottomDimension.gbr,199 B,290
EFEKTA WIRELESS TEMPERATURE & HUMIDITY SENSOR V1 | nRF52840,BottomMask.gbr,1.55 kB,325
EFEKTA WIRELESS TEMPERATURE & HUMIDITY SENSOR V1 | nRF52840,BottomPaste.gbr,1.02 kB,292
EFEKTA WIRELESS TEMPERATURE & HUMIDITY SENSOR V1 | nRF52840,Through.drl,1.22 kB,383
EFEKTA WIRELESS TEMPERATURE & HUMIDITY SENSOR V1 | nRF52840,TopAssy.gbr,186 B,288
EFEKTA WIRELESS TEMPERATURE & HUMIDITY SENSOR V1 | nRF52840,BottomSilk.gbr,167.8 kB,359
EFEKTA WIRELESS TEMPERATURE & HUMIDITY SENSOR V1 | nRF52840,TopDimension.gbr,196 B,339
EFEKTA WIRELESS TEMPERATURE & HUMIDITY SENSOR V1 | nRF52840,TopMask.gbr,1.93 kB,302
EFEKTA WIRELESS TEMPERATURE & HUMIDITY SENSOR V1 | nRF52840,TopPaste.gbr,1.41 kB,325
EFEKTA WIRELESS TEMPERATURE & HUMIDITY SENSOR V1 | nRF52840,Верхний.gbr,44.18 kB,831
EFEKTA WIRELESS TEMPERATURE & HUMIDITY SENSOR V1 | nRF52840,TopSilk.gbr,176.15 kB,344
EFEKTA WIRELESS TEMPERATURE & HUMIDITY SENSOR V1 | nRF52840,Нижний.gbr,44.92 kB,842
EFEKTA WIRELESS TEMPERATURE & HUMIDITY SENSOR V1 | nRF52840,BOTTOM_FDM_2430.STL,5.97 MB,365
EFEKTA WIRELESS TEMPERATURE & HUMIDITY SENSOR V1 | nRF52840,BOTTOM_FDM_2450.STL,5.97 MB,375
EFEKTA WIRELESS TEMPERATURE & HUMIDITY SENSOR V1 | nRF52840,BOTTOM_SLA_2450.STL,10.03 MB,397
ESP WaterMeter,ESPWaterMeter.brd,107.7 kB,608
ESP WaterMeter,ESPWaterMeter.sch,193.38 kB,584
